Name,Siblings and Spouses,female,Cabin Class 2,Cabin Class 3,Cherbourg,Queenstown,"Age (20, 28]","Age (28, 38]","Age (38, 80]",Mrs.,Miss,VIP,Survived,survival_prob
"Silven, Miss. Lyyli Karoliina",0,1,1,0,0,0,0,0,0,0,1,0,1,0.854457692522079
"Gilinski, Mr. Eliezer",0,0,0,1,0,0,1,0,0,0,0,0,0,0.08654422116462697
"Parrish, Mrs. (Lutie Davis)",0,1,1,0,0,0,0,0,1,1,0,0,1,0.8011044440879119
"Madill, Miss. Georgette Alexandra",0,1,0,0,0,0,0,0,0,0,1,0,1,0.9536311105447001
"Hickman, Mr. Leonard Mark",2,0,1,0,0,0,1,0,0,0,0,0,0,0.1397385190944778
"Mionoff, Mr. Stoytcho",0,0,0,1,0,0,1,0,0,0,0,0,0,0.08654422116462697
"Boulos, Miss. Nourelain",1,1,0,1,1,0,0,0,0,0,1,0,0,0.6465076218114811
"Ford, Mr. William Neal",1,0,0,1,0,0,0,0,0,0,0,0,0,0.11169762060247306
"Najib, Miss. Adele Kiamie ""Jane""",0,1,0,1,1,0,0,0,0,0,1,0,1,0.7132638413018497
"Adahl, Mr. Mauritz Nils Martin",0,0,0,1,0,0,0,1,0,0,0,0,0,0.08284178901389519
"Dodge, Master. Washington",0,0,0,0,0,0,0,0,0,0,0,0,1,0.6551929445176947
"Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)",1,1,1,0,0,0,0,1,0,1,0,0,1,0.8511361945705977
"Bourke, Mr. John",1,0,0,1,0,1,0,0,1,0,0,0,0,0.028939789916964723
"Vanden Steen, Mr. Leo Peter",0,0,0,1,0,0,1,0,0,0,0,0,0,0.08654422116462697
"Pasic, Mr. Jakob",0,0,0,1,0,0,1,0,0,0,0,0,0,0.08654422116462697
"Minahan, Dr. William Edward",2,0,0,0,0,1,0,0,1,0,0,1,0,0.2260063222595845
"Navratil, Mr. Michel (""Louis M Hoffman"")",0,0,1,0,0,0,0,1,0,0,0,0,0,0.22268289091820168
"Panula, Master. Eino Viljami",4,0,0,1,0,0,0,0,0,0,0,0,0,0.04759718996812384
"Allison, Miss. Helen Loraine",1,1,0,0,0,0,0,0,0,0,1,0,0,0.9379689816755689
"Lurette, Miss. Elise",0,1,0,0,1,0,0,0,1,0,1,0,1,0.8831798754524106
"Barah, Mr. Hanna Assi",0,0,0,1,1,0,0,0,0,0,0,0,1,0.1868796204760528
"Cardeza, Mr. Thomas Drake Martinez",0,0,0,0,1,0,0,1,0,0,0,0,1,0.5742187759427239
"Asplund, Master. Edvin Rojj Felix",4,0,0,1,0,0,0,0,0,0,0,0,1,0.04759718996812384
"Abbing, Mr. Anthony",0,0,0,1,0,0,0,0,1,0,0,0,0,0.044691882417771715
"Coxon, Mr. Daniel",0,0,0,1,0,0,0,0,1,0,0,0,0,0.044691882417771715
"Goldsmith, Mr. Frank John",1,0,0,1,0,0,0,1,0,0,0,0,0,0.06227403438905724
"Sundman, Mr. Johan Julian",0,0,0,1,0,0,0,0,1,0,0,0,1,0.044691882417771715
"Oreskovic, Mr. Luka",0,0,0,1,0,0,0,0,0,0,0,0,0,0.14604659073545537
"Ford, Mrs. Edward (Margaret Ann Watson)",1,1,0,1,0,0,0,0,1,1,0,0,0,0.48285620463163703
"Hood, Mr. Ambrose Jr",0,0,1,0,0,0,1,0,0,0,0,0,0,0.2310606725466789
"Hassan, Mr. Houssein G N",0,0,0,1,1,0,0,0,0,0,0,0,0,0.1868796204760528
"Gale, Mr. Shadrach",1,0,1,0,0,0,0,1,0,0,0,0,0,0.17398188947855395
"Stranden, Mr. Juho",0,0,0,1,0,0,0,1,0,0,0,0,1,0.08284178901389519
"Petranec, Miss. Matilda",0,1,0,1,0,0,1,0,0,0,1,0,0,0.506280657930155
"Danoff, Mr. Yoto",0,0,0,1,0,0,1,0,0,0,0,0,0,0.08654422116462697
"Cook, Mr. Jacob",0,0,0,1,0,0,0,0,1,0,0,0,0,0.044691882417771715
"Bonnell, Miss. Elizabeth",0,1,0,0,0,0,0,0,1,0,1,0,1,0.8490740497540143
"Goldenberg, Mr. Samuel L",1,0,0,0,1,0,0,0,1,0,0,0,1,0.3393088518255289
"Mallet, Master. Andre",0,0,1,0,1,0,0,0,0,0,0,0,1,0.421610215145218
"Petterson, Mr. Johan Emil",1,0,0,1,0,0,1,0,0,0,0,0,0,0.06512250549844505
"Van der hoef, Mr. Wyckoff",0,0,0,0,0,0,0,0,1,0,0,0,0,0.34201077193410406
"Becker, Master. Richard F",2,0,1,0,0,0,0,0,0,0,0,0,1,0.22673586695118034
"Widener, Mr. Harry Elkins",0,0,0,0,1,0,1,0,0,0,0,0,0,0.5858541621170665
"Sivic, Mr. Husein",0,0,0,1,0,0,0,0,1,0,0,0,0,0.044691882417771715
"Leader, Dr. Alice (Farnham)",0,1,0,0,0,0,0,0,1,0,0,1,1,0.9055177766168209
"McNamee, Mr. Neal",1,0,0,1,0,0,1,0,0,0,0,0,0,0.06512250549844505
"Balkic, Mr. Cerin",0,0,0,1,0,0,1,0,0,0,0,0,0,0.08654422116462697
"Svensson, Mr. Olof",0,0,0,1,0,0,1,0,0,0,0,0,0,0.08654422116462697
"Rice, Master. Arthur",4,0,0,1,0,1,0,0,0,0,0,0,0,0.04150392507777491
"Quick, Miss. Phyllis May",1,1,1,0,0,0,0,0,0,0,1,0,1,0.8119047161688999
"Charters, Mr. David",0,0,0,1,0,1,1,0,0,0,0,0,0,0.07586220546504205
"Hirvonen, Miss. Hildur E",0,1,0,1,0,0,0,0,0,0,1,0,1,0.6492518960660794
"Carter, Mr. William Ernest",1,0,0,0,0,0,0,1,0,0,0,0,1,0.42457566945280745
"Kirkland, Rev. Charles Leonard",0,0,1,0,0,1,0,0,1,0,0,1,0,0.1335976153375272
"Coleff, Mr. Satio",0,0,0,1,0,0,1,0,0,0,0,0,0,0.08654422116462697
"Silvey, Mr. William Baird",1,0,0,0,0,0,0,0,1,0,0,0,0,0.27649550912346343
"Partner, Mr. Austen",0,0,0,0,0,0,0,0,1,0,0,0,0,0.34201077193410406
"White, Mr. Richard Frasar",0,0,0,0,0,0,1,0,0,0,0,0,0,0.512826250046398
"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)",1,1,0,1,0,0,0,0,1,1,0,0,0,0.48285620463163703
"Beckwith, Mr. Richard Leonard",1,0,0,0,0,0,0,1,0,0,0,0,1,0.42457566945280745
"Drew, Mrs. James Vivian (Lulu Thorne Christian)",1,1,1,0,0,0,0,1,0,1,0,0,1,0.8511361945705977
"Daly, Mr. Eugene Patrick",0,0,0,1,0,1,0,1,0,0,0,0,1,0.07258044795309686
"Chambers, Mrs. Norman Campbell (Bertha Griggs)",1,1,0,0,0,0,0,1,0,1,0,0,1,0.9524469429824497
"Warren, Mrs. Frank Manley (Anna Sophia Atkinson)",1,1,0,0,1,0,0,0,1,1,0,0,1,0.9330698229786218
"Dorking, Mr. Edward Arthur",0,0,0,1,0,0,0,0,0,0,0,0,1,0.14604659073545537
"Chronopoulos, Mr. Apostolos",1,0,0,1,1,0,1,0,0,0,0,0,0,0.0855979633282065
"Levy, Mr. Rene Jacques",0,0,1,0,1,0,0,1,0,0,0,0,0,0.2779680545287814
"Richards, Master. William Rowe",1,0,1,0,0,0,0,0,0,0,0,0,1,0.2851068470086623
"Hippach, Miss. Jean Gertrude",0,1,0,0,1,0,0,0,0,0,1,0,1,0.96508112410008
"Kantor, Mr. Sinai",1,0,1,0,0,0,0,1,0,0,0,0,0,0.17398188947855395
"Heikkinen, Miss. Laina",0,1,0,1,0,0,1,0,0,0,1,0,1,0.506280657930155
"Dennis, Mr. Samuel",0,0,0,1,0,0,1,0,0,0,0,0,0,0.08654422116462697
"Drazenoic, Mr. Jozef",0,0,0,1,1,0,0,1,0,0,0,0,0,0.10824339296326514
"Osen, Mr. Olaf Elon",0,0,0,1,0,0,0,0,0,0,0,0,0,0.14604659073545537
"Rice, Mrs. William (Margaret Norton)",0,1,0,1,0,1,0,0,1,1,0,0,0,0.5238819759239929
"White, Mr. Percival Wayland",0,0,0,0,0,0,0,0,1,0,0,0,0,0.34201077193410406
"Clarke, Mrs. Charles V (Ada Maria Winfield)",1,1,1,0,0,0,1,0,0,1,0,0,1,0.8570875940381135
"LeRoy, Miss. Bertha",0,1,0,0,1,0,0,1,0,0,1,0,1,0.9358834374457521
"Lemberopolous, Mr. Peter L",0,0,0,1,1,0,0,1,0,0,0,0,0,0.10824339296326514
"Bazzani, Miss. Albina",0,1,0,0,1,0,0,1,0,0,1,0,1,0.9358834374457521
"Carter, Mrs. Ernest Courtenay (Lilian Hughes)",1,1,1,0,0,0,0,0,1,1,0,0,0,0.7475608809718909
"Andrews, Miss. Kornelia Theodosia",1,1,0,0,0,0,0,0,1,0,1,0,1,0.805305686469223
"Montvila, Rev. Juozas",0,0,1,0,0,0,1,0,0,0,0,1,0,0.26493170716807857
"Endres, Miss. Caroline Louise",0,1,0,0,1,0,0,1,0,0,1,0,1,0.9358834374457521
"Newell, Mr. Arthur Webster",0,0,0,0,1,0,0,0,1,0,0,0,0,0.4112476923521733
"Skoog, Mrs. William (Anna Bernhardina Karlsson)",1,1,0,1,0,0,0,0,1,1,0,0,0,0.48285620463163703
"Connors, Mr. Patrick",0,0,0,1,0,1,0,0,1,0,0,0,0,0.03895533449651343
"Moor, Master. Meier",0,0,0,1,0,0,0,0,0,0,0,0,1,0.14604659073545537
"McKane, Mr. Peter David",0,0,1,0,0,0,0,0,1,0,0,0,0,0.12920634689056623
"Hakkarainen, Mr. Pekka Pietari",1,0,0,1,0,0,1,0,0,0,0,0,0,0.06512250549844505
"Waelens, Mr. Achille",0,0,0,1,0,0,1,0,0,0,0,0,0,0.08654422116462697
"Nakid, Mr. Sahid",1,0,0,1,1,0,0,0,0,0,0,0,1,0.14455269972489174
"Nicola-Yarred, Miss. Jamila",1,1,0,1,1,0,0,0,0,0,1,0,1,0.6465076218114811
"Andreasson, Mr. Paul Edvin",0,0,0,1,0,0,0,0,0,0,0,0,0,0.14604659073545537
"Mellors, Mr. William John",0,0,1,0,0,0,0,0,0,0,0,0,1,0.3516707647019611
"Lesurer, Mr. Gustave J",0,0,0,0,1,0,0,1,0,0,0,0,1,0.5742187759427239
"Goodwin, Master. William Frederick",5,0,0,1,0,0,0,0,0,0,0,0,0,0.03544173405798984
"Johnson, Mr. Malkolm Joackim",0,0,0,1,0,0,0,1,0,0,0,0,0,0.08284178901389519
"Chaffee, Mr. Herbert Fuller",1,0,0,0,0,0,0,0,1,0,0,0,0,0.27649550912346343
"Appleton, Mrs. Edward Dale (Charlotte Lamson)",2,1,0,0,0,0,0,0,1,1,0,0,1,0.8840882531511453
"Strandberg, Miss. Ida Sofia",0,1,0,1,0,0,1,0,0,0,1,0,0,0.506280657930155
"Albimona, Mr. Nassef Cassem",0,0,0,1,1,0,1,0,0,0,0,0,1,0.11294129408080653
"Karun, Miss. Manca",0,1,0,1,1,0,0,0,0,0,1,0,1,0.7132638413018497
"Hogeboom, Mrs. John C (Anna Andrews)",1,1,0,0,0,0,0,0,1,1,0,0,1,0.9120794582991495
"Carr, Miss. Helen ""Ellen""",0,1,0,1,0,1,0,0,0,0,1,0,1,0.6159491233520749
"Rosblom, Mrs. Viktor (Helena Wilhelmina)",0,1,0,1,0,0,0,0,1,1,0,0,0,0.559458271771856
"Brown, Mrs. Thomas William Solomon (Elizabeth Catherine Ford)",1,1,1,0,0,0,0,0,1,1,0,0,1,0.7475608809718909
"Wilhelms, Mr. Charles",0,0,1,0,0,0,0,1,0,0,0,0,1,0.22268289091820168
"Moor, Mrs. (Beila)",0,1,0,1,0,0,1,0,0,1,0,0,1,0.720033212423949
"Panula, Mr. Ernesti Arvid",4,0,0,1,0,0,0,0,0,0,0,0,0,0.04759718996812384
"Ayoub, Miss. Banoura",0,1,0,1,1,0,0,0,0,0,1,0,1,0.7132638413018497
"Hocking, Mrs. Elizabeth (Eliza Needs)",1,1,1,0,0,0,0,0,1,1,0,0,1,0.7475608809718909
"Walker, Mr. William Anderson",0,0,0,0,0,0,0,0,1,0,0,0,0,0.34201077193410406
"Palsson, Master. Gosta Leonard",3,0,0,1,0,0,0,0,0,0,0,0,0,0.06364651479140325
"Gaskell, Mr. Alfred",0,0,1,0,0,0,0,0,0,0,0,0,0,0.3516707647019611
"Gustafsson, Mr. Karl Gideon",0,0,0,1,0,0,0,0,0,0,0,0,0,0.14604659073545537
"Vande Walle, Mr. Nestor Cyriel",0,0,0,1,0,0,1,0,0,0,0,0,0,0.08654422116462697
"Hunt, Mr. George Henry",0,0,1,0,0,0,0,1,0,0,0,0,0,0.22268289091820168
"Goldsmith, Master. Frank John William ""Frankie""",0,0,0,1,0,0,0,0,0,0,0,0,1,0.14604659073545537
"Barbara, Mrs. (Catherine David)",0,1,0,1,1,0,0,0,1,1,0,0,0,0.6305321053178266
"Rugg, Miss. Emily",0,1,1,0,0,0,1,0,0,0,1,0,1,0.7648348091958914
"Futrelle, Mr. Jacques Heath",1,0,0,0,0,0,0,1,0,0,0,0,0,0.42457566945280745
"Doling, Miss. Elsie",0,1,1,0,0,0,0,0,0,0,1,0,1,0.854457692522079
"Bing, Mr. Lee",0,0,0,1,0,0,0,1,0,0,0,0,1,0.08284178901389519
